,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2025-06-09,-2.2280452834260056,0.0,-0.9098669491824474,0.0,-2.681148580640025,0.0,-1.8754097977666917,0.0,-0.48431519560229175,-4.781097788706202,0.0,-7.681431657913917,-2.9856238325455364,-3.2095253509836996,-2.8603526149573844,-2.8884987609616775,0.0,-8.431543049954593,-2.9992531310682247,-0.01270325525447591,-1.196830271298499,-2.6514421118474907,-1.7164499585010207
2025-06-10,-2.211085514208988,0.0,-0.8360213391925275,0.0,-2.5908362588522915,0.0,-1.8129924565752353,0.0,-1.0667221332720467,-4.646012078235606,0.0,-8.061681922250063,-2.895052534199405,-3.107031822861195,-2.7766176837741408,-2.802973702884126,0.0,-8.210291489941513,-2.9187224150992175,0.0,-1.1123038594169188,-2.79953554960114,-1.8671023622238714
2025-06-11,-2.140461656015924,0.0,-0.6270938945141857,0.0,-2.4612156452057166,0.0,-1.6557381198216925,0.0,-1.15584345255475,-4.864147787724827,0.0,-8.000459812099104,-2.7209236586950736,-2.954474718797251,-2.5517769334925,-2.6580930698408056,0.0,-8.231032170159713,-2.80173580526778,0.0,-1.0629989847236843,-2.7027026612775895,-1.7711560622192257
2025-06-12,-2.7774135780242126,-0.920949249327363,-1.675984200332592,-0.7636632384115494,-3.4518478252839047,-0.7368575686582668,-2.6504828365151,-0.9919597292791904,-1.7280129948711864,-5.803827155547426,-0.21702559275532662,-8.85745054215159,-3.716487557981951,-3.924563419431404,-3.550683475664329,-3.6757055993306254,0.0,-8.726460891612343,-3.807532847085726,-0.765267372637024,-1.2777175976314337,-3.5995134657702876,-2.6733294670386654
2025-06-13,-3.19024607656736,-1.6457653311071185,-2.403823143266526,-1.3043578054501292,-4.204200488689425,-1.3126457982980066,-3.3801775223010977,-1.623955522422127,-2.411007158513523,-6.509635912435973,-0.3437255227705216,-9.713683969145048,-4.390735974290328,-4.613960758493862,-4.205448072173401,-4.354344458878656,0.0,-9.013075876872579,-4.51978254099743,-1.3158593567333954,-1.4030707086769012,-4.297614075780909,-3.3784129879786073
2025-06-16,-2.90815346410076,-0.899365179198397,-1.5622317303409239,-0.6833631389745909,-3.395795240248034,-0.7005600906790921,-2.5560318599504805,-0.8540912607568285,-1.503413223026806,-5.730821529640384,0.0,-9.039742277800556,-3.5904890022934177,-3.8270727700055907,-3.3948164139433135,-3.5511769685000694,0.0,-8.559974243097024,-3.708199345799823,-0.6948724522077621,-0.9382759431899368,-4.063349117187487,-3.144773616794194
2025-06-17,-2.79613860764526,-0.9353685286070723,-1.5685364839747473,-0.6862284962811493,-3.4158728599414157,-0.723547290909865,-2.5787503949730284,-0.8274924269833117,-1.7912739243546083,-5.75070416336203,-0.11456867939094728,-9.261592544906726,-3.5944415770239213,-3.8447577271302213,-3.3963109853660134,-3.543896799835633,0.0,-8.705112786716118,-3.7225129796308987,-0.6947724057608462,-1.0517696522237108,-3.939517201282805,-3.0332407443438236
2025-06-18,-2.822851273546223,-1.2804468819581083,-1.9987723823283288,-0.9826217404531601,-3.8550316154732367,-1.0346276791087017,-3.023073950756494,-1.2486442208412885,-1.6872929918766433,-6.364179778850055,-0.11248062540799575,-9.444012289029601,-4.030940912993863,-4.27862328117773,-3.817854906028295,-3.9979875761811168,0.0,-8.860526776094824,-4.176930523110656,-1.032448608126424,-1.0497011899489816,-3.915508687212199,-3.1735539361809284
2025-06-19,-2.9341985847594176,-1.3854629964780818,-2.1285694422186863,-1.070148620202671,-3.9880649745204555,-1.1134233307368069,-3.1414683375260433,-1.3869685798458264,-1.4632619688566884,-6.501066091905128,-0.1598087359013678,-9.412048652662675,-4.16627196418955,-4.442045713421949,-3.9402697130171527,-4.118234637316687,0.0,-9.005238140116834,-4.291675774232495,-1.1244461321677002,-1.0965852321672132,-3.8914941726643226,-3.193910147618606
2025-06-20,-2.866979900330646,-0.2625180745690514,-0.9811663964071737,-0.19739317291164182,-2.8578201014770044,-0.24370146341591292,-2.0216902864427455,-0.4516235708086014,0.0,-5.666132546496727,0.0,-7.945403797147099,-3.121551871402828,-3.3848116077192736,-2.8410227819740674,-3.140575599332618,0.0,-8.499184257781355,-3.214760522486515,-0.2762670607961093,-0.5419902111011621,-3.905524206379074,-2.6573091368085056
2025-06-23,-3.1703397314084114,-1.0917934216711278,-1.952415082950687,-0.8913550842119644,-3.6835686601465745,-0.8683632510234074,-2.9054957811712634,-1.358244940224873,-0.4074260867170443,-6.345144281118175,-0.2262245751629144,-8.676031913486348,-4.027819002334598,-4.2350706556785305,-3.7707202101489146,-4.079231737309675,0.0,-8.752000359222246,-4.082107022524006,-0.9176789470239255,-0.7669886712115881,-4.191233920959004,-2.9440723100276234
2025-06-24,-3.236429721041856,-1.0086915360924986,-1.8507978195527186,-0.8111981854433625,-3.6493580081063848,-0.8292195653448742,-2.835536703354591,-1.1557300086352362,-0.1906279098205621,-6.296020874615738,-0.19350556937800523,-8.479143569437031,-3.9599182334371985,-4.201797492680759,-3.688926669166326,-3.9907085153062627,0.0,-8.770502435249794,-4.020998023872924,-0.8875615760554623,-0.7344469992352054,-4.160001596238505,-2.915599642388067
2025-06-25,-2.784382742160185,-0.16686314075277098,-0.9301393117919221,-0.12177648811305675,-2.732526786943701,-0.14883327182528827,-1.942419654318861,-0.6014146791271546,0.0,-5.516449415981583,0.0,-7.779797707137415,-3.0938353691566833,-3.3107154695242835,-2.807595716602951,-3.1648211511842717,0.0,-8.368303237692743,-3.1357149423352104,-0.1798785962484395,-0.3619961017330309,-3.8292825930246854,-2.5535437959737894
2025-06-26,-2.3607534788358198,0.0,-0.05590906450508859,0.0,-1.854705883739305,0.0,-1.0513236998464737,-0.23075216296479795,0.0,-4.745413475926452,0.0,-6.638786343538627,-2.28620516167769,-2.3811511325717793,-2.0031962912867463,-2.475546979816179,0.0,-8.272144032377703,-2.268871635680103,0.0,-0.32611033835446834,-3.2880784945341524,-1.959599053963157
2025-06-27,-2.0765786570767664,0.0,0.0,0.0,-1.2882597993959521,0.0,-0.46632697119781685,0.0,0.0,-4.23534182637969,0.0,-5.747312843161567,-1.7388989795426357,-1.8246886831211673,-1.4631178381794063,-1.930140858071372,0.0,-8.119883997102706,-1.7068338029337715,0.0,-0.20876254509614167,-3.119483903321607,-1.7732009624863654
2025-06-30,-2.3196572024697715,-0.287964752776404,-0.27514159196808663,-0.19511202348500012,-1.6353589464307983,-0.26713870212426993,-0.8128576109222019,0.0,-0.8747023949566501,-4.592662387093716,0.0,-6.124427122444331,-1.9396460563231077,-2.1526999308592476,-1.7054429980931096,-1.962373480629953,0.0,-8.262095008862758,-2.0516825321321597,-0.2679075378195228,-0.14409312854851697,-3.497555762968574,-2.176361519731207
2025-07-01,-2.1272995353833646,-0.13744164349542842,-0.17765005499673636,-0.10894249374503451,-1.5602814808461707,-0.21295827392824318,-0.730317077081899,0.0,-0.621422488360035,-4.724184639316675,0.0,-5.734459830345973,-1.8984162385624503,-2.0776778690244524,-1.6465960294856696,-1.972471727518721,0.0,-8.432808116239187,-1.9771025900881978,-0.17764746497593853,-0.13261173301989393,-3.3890458779472055,-1.881109893429389
2025-07-02,-2.342590801470734,-0.511877369944036,-0.6163477379023452,-0.41122330021472475,-1.8574650798509729,-0.45991060305152764,-1.1161989631412017,-0.25123520973543423,-0.5888699176037737,-5.036353660458415,0.0,-6.217466420293705,-2.284215903755482,-2.4156312601334884,-2.027523950273935,-2.410853107885169,0.0,-8.561994146894792,-2.3406489177272283,-0.4066046805637602,-0.08920998897365973,-3.7632239664825096,-2.1879716789972914
2025-07-03,-2.4710993205907528,-0.6437384286248293,-0.7762493806885096,-0.5243595678864565,-1.9561785573105395,-0.5334587199982921,-1.2593726564716023,-0.29863487471297745,-1.0001897661600312,-5.134488178951379,0.0,-6.396991603870983,-2.4564659332538596,-2.56067239578055,-2.1748824363788444,-2.6351459463093807,0.0,-8.655004594219529,-2.4680658568317804,-0.4883435967976135,-0.04450724501326997,-3.8852476889712495,-2.3038432547521026
2025-07-04,-2.2312075712877744,-0.15837105136791152,-0.24846533752783673,-0.13282582827008893,-1.4430312737323536,-0.11985373244164377,-0.7298828852712713,-0.06771755309388228,-0.8395002874902802,-4.674348097340097,0.0,-5.9608387560555975,-1.9790812011563963,-2.1065861109934136,-1.6688829114131165,-2.1631735140967057,0.0,-8.519390285934215,-1.9483208142209496,-0.06618484121365675,-0.013870767136536788,-3.6512673212782953,-2.0535953625738457
