,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2025-09-02,-5.035046172648771,-3.5159108117886695,-3.833387916848008,-2.82581399275198,-4.6198520829768945,-2.1927722024975727,-4.208777451938817,-0.7326952007562726,-6.815480768939864,-6.135691865564896,-1.1952282503744582,-8.410151755226181,-5.819474280340097,-5.85217982565347,-6.80971822122366,-5.356686130613575,-5.392195788445564,0.0,-13.467219602409452,-4.865815494205106,-2.333106039724242,-1.390186972052121,-4.951942455822433,-4.219537089980252
2025-09-03,-5.227616456669482,-3.2870106918528097,-3.61493324527693,-2.7038890174873376,-4.3747226308076925,-2.0543572128072785,-3.9490812300816525,-0.5852013137650713,-6.489944659089408,-5.752840051425978,-1.1181099749923207,-8.803122732550639,-5.300472230702735,-5.64855781238035,-6.612959388761652,-5.14027652775122,-5.194426123137774,0.0,-13.539299913274283,-4.6266285675452545,-2.1973735423442164,-1.3132208642234522,-4.971366300287983,-4.240802291786316
2025-09-04,-5.311018830837943,-3.3254792526055343,-3.66065699695578,-2.717001889249515,-4.2666059503578495,-1.9884643996499807,-3.926731036773501,-0.6177099924966623,-6.225683317699882,-5.413891583679886,-1.1225263015859688,-8.761784056508425,-5.226712887633056,-5.663908064983236,-6.587407249574095,-5.197906600808533,-5.208600441158184,0.0,-13.591164980203862,-4.593687530388135,-2.1711130659068933,-1.3176284766490243,-5.073637677993991,-4.212567067225104
2025-09-05,-5.6835164908069835,-3.8241977742765054,-4.195963788997325,-2.981236443863877,-4.861314053628107,-2.291688713121842,-4.473325866918698,-0.8602599299686542,-5.834769958811481,-6.196830990551494,-1.255570084466373,-9.70700388170287,-5.20104379807046,-6.132879079624054,-7.119491211513774,-5.65660407581886,-5.6248354344746065,0.0,-13.806260928330937,-5.178111984660028,-2.4659603954154563,-1.4504097413799655,-5.652329419530256,-4.3066691705279325
2025-09-08,-5.798714023889351,-4.027542853518817,-4.417395104626198,-3.0854683111031678,-5.044162676439557,-2.3784061270494705,-4.666308171078559,-0.9149524563516587,-5.912056158374512,-6.3439232619475145,-1.3115969183980392,-10.035025671189402,-5.077854619268695,-6.327541153930771,-7.288024690365191,-5.88687654575939,-5.810205911719457,0.0,-14.00535766344122,-5.378394732679159,-2.5617750440932063,-1.5063260247812016,-5.795284250764265,-4.3181577798715125
2025-09-09,-5.726744500590075,-3.3901746007508504,-3.742263846126903,-2.7207523337840045,-4.436774080191219,-2.0436854049921016,-4.0583248908776515,-0.8449798388969532,-5.79634736447836,-5.933402402537668,-1.2869316049938462,-9.450971557082621,-4.712126220748436,-5.731104751830729,-6.693851146331364,-5.2931622186131015,-5.208831493988253,0.0,-13.50015755176831,-4.746195914622698,-2.217101573769209,-1.481709380260976,-5.694851504885001,-4.233442337693816
2025-09-10,-5.703182670426454,-2.8107556987393867,-3.1179151196266464,-2.3829740952667655,-3.893584668468786,-1.7406436157710425,-3.4665831903901934,-0.6370667142761799,-5.818628852263541,-5.369725063755082,-1.2622601269576705,-9.416070108869402,-4.311718358370154,-5.2082923138221275,-6.154289268572,-4.767600861005883,-4.705459560537073,0.0,-13.248323620545976,-4.159328776264804,-1.8933252644380505,-1.4570865832726487,-5.696379423936859,-4.206580335260213
2025-09-11,-5.693271973075853,-2.7495434220170645,-3.0601525009838926,-2.340754369439879,-3.8066771875982064,-1.6855217104724929,-3.378119527687684,-0.6564246033120114,-5.280122694896006,-5.178360993432818,-1.2375824827488224,-9.970089146736372,-4.1875712660220055,-5.118282280394482,-5.990355170629236,-4.736716896234228,-4.6304802297651,0.0,-13.117874467234314,-4.094446631151061,-1.8462174686991406,-1.4324576322785387,-5.883116702952185,-4.2742340293164265
2025-09-12,-5.576087442053501,-2.587536626971998,-2.869079905939942,-2.2280567993328115,-3.744992659469215,-1.6348898203792372,-3.2238082391785605,-0.6780791371664319,-5.364247149595225,-5.361805238955841,-1.2286632402024211,-11.292614096411679,-3.77183678690195,-4.970478275594969,-5.899396844564874,-4.529855903696611,-4.484609108535653,0.0,-12.950257625735995,-4.000639052168086,-1.7816765738497775,-1.423555988923908,-5.955261385962851,-4.414286887435603
2025-09-15,-5.658516718109407,-2.686317699148566,-2.9876620923173225,-2.279513135937339,-3.8693617298153793,-1.6900479657317224,-3.334211586494784,-0.6262905578735434,-5.312137806577077,-5.4955100410257085,-1.2184372864978754,-11.267963254539614,-3.9434978878894245,-5.074893350525411,-5.997710398039391,-4.634398943886032,-4.594976328582224,0.0,-13.120746012453688,-4.117592725848929,-1.832091312107309,-1.4133502127758213,-6.143124364508401,-4.378845322021019
2025-09-16,-5.619721360665242,-2.0336217495625752,-2.3201274560430307,-1.9222866702664265,-3.3665696831282177,-1.4113415195263213,-2.725928404506228,-0.3007356323130206,-4.4986692418507275,-5.090687452532016,-0.9886930924268067,-11.100921877328929,-3.2924983450435152,-4.482469647824006,-5.430065470895718,-3.9887092777307953,-4.030719735018162,0.0,-12.722494767896741,-3.5281956691466387,-1.505752297242069,-1.1840593433124158,-5.7218544580078134,-4.292294376917727
2025-09-17,-5.572606334291752,-1.624393548019465,-1.8922082586689148,-1.688427573723783,-3.183395194883354,-1.2975400340917487,-2.361660452990355,0.0,-4.496223263633336,-4.942964913988678,-0.983169346821644,-11.435404594395926,-2.943241569300925,-4.1286089606608956,-5.095066663264458,-3.630085604441513,-3.662793173626955,0.0,-12.459338786121755,-3.188165819566746,-1.311891661903819,-1.1785464970025417,-5.283025652363859,-3.930738874283035
2025-09-18,-5.488572087422694,-1.2836385621757374,-1.553286207014959,-1.500370127807682,-2.7866583913576437,-1.077925100716337,-2.0133653862274947,0.0,-4.086478049580111,-4.523201060532445,-0.8913932891806198,-10.912119206067128,-2.5855581478301692,-3.821697223837106,-4.814094806381108,-3.3087798681561864,-3.3443140750561096,0.0,-12.48912384047295,-2.827020294760052,-1.1115630190415948,-1.08695152922752,-5.108782609011298,-3.9428209275016557
2025-09-19,-5.3436329526795445,-1.5485136367236363,-1.808519615192572,-1.6211442771997375,-3.1654570451709274,-1.2660409877790268,-2.3102327376822607,-0.10561314487630424,-4.18151121391327,-4.917690659904251,-0.9800345181159908,-11.642316102648975,-2.955499869214484,-4.046926074860768,-4.997050531288161,-3.532843701547761,-3.6128321729057777,0.0,-12.809515176957643,-3.120583041948788,-1.252447368044396,-1.1754178538503246,-5.176223890530018,-3.857582033384588
2025-09-22,-6.020586861093646,-2.4232808315881593,-2.749063355151715,-2.102579377125491,-4.000946320367371,-1.7012347970730701,-3.2027154706887107,-0.12519792238651073,-4.4308378020679555,-5.657910929897714,-0.9065746494661742,-11.286112495373635,-3.433311636358405,-4.859707682605096,-5.781047564788466,-4.407516309654891,-4.392875415573205,0.0,-13.42668630647611,-3.9778945668205057,-1.6981071076171972,-1.1021029340914756,-6.129372400097921,-3.9993124146784464
2025-09-23,-5.955306905924617,-2.7546158321850145,-3.0573291706266104,-2.2510092135183624,-4.532468334662387,-1.9634220494079702,-3.5604631487625604,-0.27748108324652243,-5.167120532094838,-6.259910679085257,-1.0880639740153075,-12.903669357452996,-3.5591799796101165,-5.1771465946756745,-6.095726745800956,-4.699857500111548,-4.7379570842344005,0.0,-13.699752538741484,-4.372971722036345,-1.8913791821732584,-1.2832341491476607,-6.262262753490411,-3.7829478268001093
2025-09-24,-6.087621041703651,-3.02549780903828,-3.3430803145063193,-2.3896595517735264,-4.851847318581692,-2.120245647258645,-3.8744290318732055,-0.24712813695991764,-5.693008244398257,-6.612481565292228,-0.9702989271036189,-12.103670500763041,-3.9906227441505737,-5.424770448510385,-6.369378775504431,-4.93366485837009,-4.973335336205819,0.0,-13.92885865577499,-4.650223063614433,-2.026057412024629,-1.1657014728249204,-6.478062554989106,-3.8138926692862896
2025-09-25,-6.404220648712711,-3.5997918390730077,-3.954621659957658,-2.6982529767416996,-5.425950605622876,-2.416495404368857,-4.471778248155466,-0.5700578691553937,-5.708646821150087,-7.206768765969884,-0.960202625853035,-12.425030468375898,-4.6268719151224325,-5.969745845712071,-6.9176354809137415,-5.487651290885365,-5.506082193064454,0.0,-14.400741180371668,-5.229159051537458,-2.323524184207104,-1.1556250933043244,-6.454688502666661,-3.9080512571911585
2025-09-26,-6.303465837165023,-4.00897035669664,-4.372599272165356,-2.9094592777452633,-5.908508338797292,-2.6602787133697126,-4.891239864401886,-0.7031927394481108,-6.49293814697669,-7.723643651343515,-1.062724385147018,-13.32953760621869,-5.531718547753616,-6.3562857825328,-7.2451546178318615,-5.860062442025482,-5.965463872197829,0.0,-14.510328028628972,-5.667583742826865,-2.542347251139332,-1.2579445596241912,-6.431308608438691,-3.818387521305877
2025-09-29,-6.3705175954752224,-4.287001189499817,-4.506128070104709,-2.9673722999461694,-6.020662880085559,-2.7084945511393066,-4.990797234650158,-1.0250093086416556,-6.747774147239816,-7.602179821365784,-1.1894429566334686,-13.825471530627286,-5.607580810405544,-6.4935653390193355,-7.35486473961352,-6.02183218825364,-6.105923218573683,0.0,-14.878824574149863,-5.762054176036957,-2.582108175518516,-1.384413093685577,-6.407922870845162,-3.8604278831489314
2025-10-01,-6.361064128792149,-4.405400447352581,-3.9880704340177653,-2.4409668593279643,-5.314659523767173,-1.977609108730638,-4.417709653503188,-1.0738580761125216,-6.897962618926767,-6.88758087055692,-1.1792929463814161,-13.832131467849784,-4.743853315291247,-6.180456402579715,-7.0280223577312455,-5.740680006994115,-5.774851443092066,0.0,-14.933571521008282,-5.199563646590155,-2.0006370805064844,-1.3742831111405729,-6.384531288425599,-3.864873620219722
2025-10-03,-6.305550239080637,-4.177691522357274,-3.7662561482693424,-2.2155783336288315,-5.245017802105978,-1.9055129634490076,-4.244537088333211,-0.6659497138034487,-6.356453009348573,-6.817014848904391,-0.9910954256330928,-13.40284604849733,-4.521597218051454,-5.9686630489836245,-6.837463092707541,-5.4907630516529355,-5.5796588484751215,0.0,-14.773318114248868,-5.009406803755956,-1.8040636239976648,-1.18645693630417,-6.361133859719192,-3.648795475150013
2025-10-06,-6.225864497250766,-3.534695739104521,-3.1172703153700465,-1.5561349637699062,-4.80886529660689,-1.453988882031465,-3.663951378885033,-0.34547789852323874,-5.720077510007037,-6.429942864591876,-0.9733211055793833,-13.143399822533564,-3.818190754050299,-5.378815285383287,-6.241063065195673,-4.945498017668992,-4.951996886301979,0.0,-14.718418578302328,-4.463378039497701,-1.2396097766172343,-1.1687176880254113,-6.379721964551155,-3.5449002266670915
2025-10-07,-6.326004940623065,-3.556885863848036,-3.1392768997264286,-1.5784961547410936,-4.771427088751812,-1.4152312176857418,-3.642281778387635,-0.5361945497177278,-5.567002243508712,-6.419627270971318,-0.9485712464871732,-13.948145457206406,-3.700635481587067,-5.399420922528419,-6.264070522248943,-4.94667968283996,-4.989571840612673,0.0,-14.529722179030802,-4.478803950235621,-1.2555562161371103,-1.1440166646402794,-6.394645624156137,-3.647683572837279
2025-10-08,-6.390335504481803,-3.404839852552033,-2.984627712150345,-1.4213550027601274,-4.725747247254963,-1.3679414550199054,-3.551961999605946,-0.3540923659340556,-5.7835297023723475,-6.430436016270457,-0.9386080193755086,-14.492512407818204,-3.9390045840564603,-5.262576247630724,-6.13932700435289,-4.818267320214309,-4.832058533175532,0.0,-14.436518150439248,-4.387902242131569,-1.1615871393569122,-1.1340730966805768,-6.497172202856872,-3.7137892999433264
2025-10-09,-6.249014181999312,-2.8979726885315915,-2.4742010757673683,-0.9027035251794602,-4.313241990866845,-0.9408980364399189,-3.0833091716842786,-0.10216442905247591,-5.664471338551957,-6.127004418128934,-0.9533719780471572,-13.958356113580884,-3.4187365449059537,-4.800429865215127,-5.687765950422574,-4.350639137178158,-4.3647300006505185,0.0,-14.356728973940614,-3.929647983559692,-0.6878696426592001,-1.1488079235353887,-6.3798631999343876,-3.5747404205511035
2025-10-10,-5.959862257743442,-2.5336002807057723,-2.1130482048599686,-0.5357311597559589,-3.9661043870776624,-0.581526060582449,-2.7183522052354525,0.0,-4.704754596887306,-5.745398460965189,-0.9095057094785308,-12.932996630562489,-3.0215895443207907,-4.473909522332075,-5.364332301258212,-4.02504859836037,-4.034201118914893,0.0,-14.285950557890914,-3.5558654514392107,-0.30147426910113184,-1.1050282106208509,-6.086469118699734,-3.2922831085083204
2025-10-13,-5.991971140936614,-2.989393227738679,-2.573216794125499,-1.003314749143125,-4.492177452618462,-1.1261398245341447,-3.166503217304817,-0.07982016377561241,-4.50069883989409,-6.207929112952437,-0.8847399009262569,-13.418472759966694,-3.2440404059194683,-4.884372878738919,-5.754119946802561,-4.462918813500661,-4.438175310235626,0.0,-14.711946987890101,-4.0249953210808815,-0.786434361267796,-1.0803112692466477,-6.33556518204813,-3.3523254889882947
2025-10-14,-6.101756062962527,-3.3163752094373833,-2.902414004646603,-1.3378165315385826,-4.741687981271713,-1.3844439975784661,-3.475746450813233,-0.2764858470639564,-4.893952691598724,-6.508025704428277,-0.874657335842588,-13.599882024586151,-3.5579630977640386,-5.183721523703955,-6.052356665231207,-4.749184746916391,-4.751677194153037,0.0,-14.919572739262055,-4.3214254057195145,-1.0928671221515196,-1.0702485987891808,-6.312155515182805,-3.5306468244441613
