,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2024-01-30,121290.95807074262,137364.88987584334,138726.0866337029,126150.16987931238,141950.72252721904,129006.36061923538,138192.25030651598,113970.14743714665,160047.30475930194,140092.3344787669,107085.22560110554,170350.99114130755,134783.73605203105,134386.29956530232,135781.99029693851,134175.63358655095,112154.15226176717,96391.75916502191,138587.66657327802,126321.89993504641,121290.95807074262,107367.24899774548,106317.55082205414
2024-01-31,121526.29860773779,138056.25234635433,139449.09512049414,126677.90225159179,142374.09127878692,129295.81075337969,138896.21443760584,114530.8453445615,157443.29860772178,140665.99159316806,107351.80117300183,170316.0450215635,135399.14855560803,134994.90367041988,136438.7998915954,134756.90249607916,112182.18308634975,96893.17501710702,139254.20200390514,126836.14786652022,121526.29860773779,107259.6593645383,106344.12289769328
2024-02-01,121491.20663242889,137731.80300473305,139159.04824053365,126502.09997622076,141847.68079304957,128918.00027213809,138553.38338118017,114745.26603546669,155610.88623641568,140057.56440041153,107527.9993981401,169390.57462206564,135130.77023404127,134716.44261535734,136159.76631225029,134509.22760891658,112210.2209167107,96949.20322613818,138911.08630356743,126616.40153626246,121491.20663242889,107286.46690251888,106370.70161452386
2024-02-02,121721.4233134443,138332.50461080097,139732.66948175355,126885.70283656777,142145.9335820547,129083.5118312038,139081.86786518092,114945.63187687265,155450.81630564513,140147.73953241497,107670.67356162691,170829.526093262,135650.10257009094,135243.3181836633,136694.09661271985,135006.07970499338,112238.26575460087,97137.02697222689,139330.87078624647,126901.52817469454,121721.4233134443,107313.28114054026,106397.28697420564
2024-02-05,121565.03296500776,137119.83069800565,138545.0617564874,126093.80893396412,140833.56518753877,128155.42883384039,137880.09820398857,114813.08654408171,153092.56026037817,138758.75390772495,107697.58382488896,168871.3783510967,134595.3444306905,134169.9068305183,135620.92871127249,133988.42617603933,112266.31760177175,96781.14993068643,138108.97034046004,126065.81457019587,121565.03296500776,107250.89630005526,106423.8789783989
2024-02-06,122375.77839137493,138528.97889596762,139931.7384860697,126989.84417908135,142150.9795153886,129047.01094655349,139213.39671473866,115144.44399472019,155073.82407056977,140162.23367894872,107709.12606267014,171331.33452995803,135909.63992273423,135500.1992984187,136929.92476705989,135291.66391055385,112294.37645997507,97319.23175760024,139404.8198624588,126934.12411010174,122375.77839137493,108080.51812912202,106450.47762876436
2024-02-07,122445.83023593399,138445.09946599213,139854.93867304674,126965.34421190922,141849.89418364983,128854.15102010516,139087.30233044492,115545.08639340082,154582.22353329757,139700.76588959468,107720.36485765727,171151.53136217306,135798.0242711014,135353.47675633986,136797.4265403063,135235.9843684066,112322.44233096323,97037.95743203304,139307.1263271688,126883.46063577676,122445.83023593399,108255.75628211575,106477.08292696305
2024-02-08,122617.55875671428,138103.1327547803,139432.61116032946,126685.76722721665,141064.06497012117,128280.83215822736,138512.78096627846,115325.29965752753,153227.12615146962,138523.68025220258,107747.2875403258,171284.51955663934,135391.41623205802,134917.59899954053,136332.45832601053,134916.5095640176,112350.51521648884,97178.36127971212,138728.40223548986,126532.46933227668,122617.55875671428,108507.172650059,106503.6948746565
2024-02-09,123176.87516411323,138542.22831255637,139960.68012318524,127066.89999383019,141254.94973663558,128429.50409653164,139000.66037616038,115582.88790243621,152330.91992769373,138744.05665137485,107774.21695181333,171343.29147902288,135833.84184290297,135329.80709394615,136806.18719276824,135358.32177666712,112378.59511830512,97510.4093733054,139216.506971346,126853.56657710973,123176.87516411323,108534.29198056235,106530.31347350661
2024-02-12,122931.86633518618,137313.25895205754,138652.39881724055,126186.0900053674,139963.61327729316,127511.38417973882,137706.19156483846,115451.14591751393,151096.07029631827,137347.19374953336,107770.82865176846,170331.046497872,134640.63356613336,134143.71520048048,135591.11622843146,134179.74550343107,112406.68203816564,97125.80123012536,137864.96486260166,125950.67021216992,122931.86633518618,108561.41808903315,106556.93872517573
