,Breakout_20,BuyHold,EqualWeight,EqualWeight+Regime,HRP,HRP+Regime,InverseVol,MA_20_50,MaxSharpe,MinVariance,MomentumPullback,MomentumTilt,NIFTY50_Index,PPO_ensemble,PPO_s0,PPO_s1,PPO_s2,RSI_35_60,Random,RiskParity,RiskParity+Regime,Selected_OOS,Sentiment_Momentum,VIX_Regime_Mom
2022-10-24,1038333.3295651682,1113066.1150303627,1121857.4292134014,1090106.8844140384,1123777.8634687949,1092265.979625273,1117487.4278489866,1009131.8028855609,1076098.3837988705,1105612.3790756918,999506.9169884671,1277617.1796070333,1065147.5721581078,1100175.9719363898,1067174.1339464122,1119620.3935348568,1113741.116070907,1037937.0106326469,987444.516059379,1118164.8107381775,1087741.3049829933,1038333.3295651682,979812.7476604917,1005906.7020955519
2022-10-25,1038223.2268159883,1111709.6437054824,1120709.7136701767,1089701.2456057188,1120359.2497006697,1090711.2603486401,1116095.7312858875,1006246.7599761077,1072296.0273404461,1097570.2747751125,999756.7249759042,1279627.0029167694,1060678.0829688837,1099092.6841170087,1066073.7450831896,1117971.1059375044,1113237.6787382523,1038196.4235004375,986922.5028895305,1115903.5449820703,1086737.9125940003,1038223.2268159883,976310.6806848402,1002903.0997258321
2022-10-27,1041059.4969703127,1116767.4413226715,1125706.6995879915,1092284.826335363,1125857.7796914587,1093535.7042682753,1120991.0404118497,1008735.2632751854,1071238.0311485427,1101810.889788076,1000006.5953981569,1286075.685779031,1065519.9807026328,1103458.0102061827,1070155.9281646868,1122288.9201260442,1117938.6365790917,1038455.9012036033,988235.2172767083,1120860.608884057,1089303.9795700633,1041059.4969703127,980210.5552897579,1004795.295973127
2022-10-28,1038026.486101195,1116815.0346828303,1125730.9859965583,1092444.9512160362,1126295.4905417552,1093859.2125098547,1120928.1911364389,1008789.5468858989,1068256.489895561,1103261.6764471626,1000256.5282708306,1280658.5747319765,1068514.7367487766,1103527.1059976108,1070909.2714615134,1121691.2227482195,1117956.1771866537,1038715.4437583496,989816.1725209645,1121116.563641103,1089563.2111487288,1038026.486101195,980200.5901046812,1004819.0619240605
2022-10-31,1049321.008570557,1131140.3863891938,1140099.6060220748,1099245.9893020878,1141287.1137082207,1101019.3847639137,1135253.853419936,1012346.3759135143,1075684.6801325285,1116138.0943720373,1000506.5236095334,1295753.004093094,1082055.2016739124,1116221.751342034,1082937.6065210355,1134737.9140111443,1130977.9218051669,1038975.0511808841,998876.6969716906,1135344.0721185897,1096307.3196416877,1049321.008570557,991879.040898608,1008215.8031422597
2022-11-01,1055704.7888951185,1138811.5451838432,1147655.9889380487,1104784.4339227974,1149435.2083267297,1106910.29993483,1142949.5927085169,1013454.3390609903,1078448.7054009165,1124528.020372774,1000756.5814298769,1299708.288719142,1090057.0574798582,1122528.9117266175,1088779.5276698885,1141282.8557699828,1137524.9349248784,1039234.7234874195,1002307.954104716,1142998.246209476,1101870.4803294423,1055704.7888951185,997862.7057171958,1009291.1769522664
2022-11-02,1051220.7135380562,1132386.4580894187,1141331.7686822475,1100284.4645462942,1143036.6080854426,1102420.147000456,1136690.0883911815,1009422.3490182986,1087471.7473529673,1118061.2764573295,1001006.7017474775,1288817.4895721972,1086299.4153730646,1116637.789284225,1083997.7274443042,1135895.228501355,1129989.1466284,1039494.4606941728,998343.7690129301,1136605.4178358852,1097330.734651385,1051220.7135380562,993575.5633696993,1005318.2388091602
2022-11-03,1051319.0819254662,1133705.0814994103,1142888.412867052,1101493.089388238,1143921.7855450106,1103131.985544846,1138102.0271521707,1010806.7535267114,1086540.599739653,1119469.4720145194,1001256.8845779555,1295023.9494967852,1084488.1769666893,1118360.6145992926,1085416.825583362,1137311.1275049073,1132329.5732248945,1039754.2628173642,998805.211242456,1138175.2060357777,1098552.9272921777,1051319.0819254662,993845.0795002448,1006689.0866940621
2022-11-04,1052500.0512997229,1133885.7013528857,1143207.4518473486,1101743.3938828236,1142721.1774186038,1102353.2295300972,1138150.81887851,1011293.9353231725,1085868.873659482,1117377.1279870062,1001507.1299369342,1295623.8939825166,1088359.982121316,1118520.812772724,1085462.6394092862,1136932.7583537085,1133141.9542847842,1040014.1298732178,998356.4877181038,1137941.5455708348,1098450.1724248917,1052500.0512997229,993785.4671706362,1007211.8247851419
2022-11-07,1059739.6213601308,1142222.096714265,1151869.6254520193,1108058.6471725046,1149240.822393036,1107086.3312362784,1146598.3686786094,1017092.0951705594,1086741.4748635243,1122867.4833117374,1001757.4378400423,1307231.0409971846,1093505.297780756,1126284.170673231,1092432.7705280036,1144632.334105099,1141783.0602622083,1040274.0618779631,1002681.7313938683,1146002.2022229773,1104320.4168485817,1059739.6213601308,994033.8451891157,1013002.433794923
